vpl_id,vpl_mat,vpl_runs,vpl_wkts,vpl_sr,or_mat,or_runs,or_wkts,or_sr
VPL-003,0,0,0,0,0,0,0,0
VPL-004,0,0,0,0,0,0,0,0
VPL-006,0,0,0,0,0,0,0,0
VPL-001,0,0,0,0,0,0,0,0
VPL-005,0,0,0,0,0,0,0,0
VPL-007,0,0,0,0,0,0,0,0
VPL-008,0,0,0,0,0,0,0,0
VPL-009,0,0,0,0,0,0,0,0
VPL-010,0,0,0,0,0,0,0,0
VPL-011,0,0,0,0,0,0,0,0
VPL-012,0,0,0,0,0,0,0,0
VPL-013,0,0,0,0,0,0,0,0
VPL-014,0,0,0,0,0,0,0,0
VPL-015,0,0,0,0,0,0,0,0
VPL-016,0,0,0,0,0,0,0,0
VPL-017,0,0,0,0,0,0,0,0
VPL-018,0,0,0,0,0,0,0,0
VPL-019,0,0,0,0,0,0,0,0
VPL-020,0,0,0,0,0,0,0,0
VPL-021,0,0,0,0,0,0,0,0
VPL-022,0,0,0,0,0,0,0,0
VPL-023,0,0,0,0,0,0,0,0
VPL-024,0,0,0,0,0,0,0,0
VPL-025,0,0,0,0,0,0,0,0
VPL-026,0,0,0,0,0,0,0,0
VPL-027,0,0,0,0,0,0,0,0
VPL-028,0,0,0,0,0,0,0,0
VPL-029,0,0,0,0,0,0,0,0
VPL-030,0,0,0,0,0,0,0,0
VPL-031,0,0,0,0,0,0,0,0
VPL-032,0,0,0,0,0,0,0,0
VPL-033,0,0,0,0,0,0,0,0
VPL-034,0,0,0,0,0,0,0,0
VPL-035,0,0,0,0,0,0,0,0
VPL-036,0,0,0,0,0,0,0,0
VPL-037,0,0,0,0,0,0,0,0
VPL-038,0,0,0,0,0,0,0,0
VPL-039,0,0,0,0,0,0,0,0
VPL-040,0,0,0,0,0,0,0,0
VPL-041,0,0,0,0,0,0,0,0
VPL-042,0,0,0,0,0,0,0,0
VPL-043,0,0,0,0,0,0,0,0
VPL-044,0,0,0,0,0,0,0,0
VPL-045,0,0,0,0,0,0,0,0
VPL-046,0,0,0,0,0,0,0,0
VPL-047,0,0,0,0,0,0,0,0
VPL-048,0,0,0,0,0,0,0,0
VPL-049,0,0,0,0,0,0,0,0
VPL-050,0,0,0,0,0,0,0,0
VPL-052,0,0,0,0,0,0,0,0
VPL-051,0,0,0,0,0,0,0,0
VPL-053,0,0,0,0,0,0,0,0
VPL-054,0,0,0,0,0,0,0,0
VPL-055,0,0,0,0,0,0,0,0
VPL-056,0,0,0,0,0,0,0,0
VPL-058,0,0,0,0,0,0,0,0
VPL-059,0,0,0,0,0,0,0,0
VPL-060,0,0,0,0,0,0,0,0
VPL-061,0,0,0,0,0,0,0,0
VPL-062,0,0,0,0,0,0,0,0
VPL-063,0,0,0,0,0,0,0,0
VPL-064,0,0,0,0,0,0,0,0
VPL-065,0,0,0,0,0,0,0,0
VPL-066,0,0,0,0,0,0,0,0
VPL-067,0,0,0,0,0,0,0,0
VPL-068,0,0,0,0,0,0,0,0
VPL-069,0,0,0,0,0,0,0,0
VPL-070,0,0,0,0,0,0,0,0
VPL-071,0,0,0,0,0,0,0,0
VPL-072,0,0,0,0,0,0,0,0
VPL-073,0,0,0,0,0,0,0,0
VPL-074,0,0,0,0,0,0,0,0
VPL-075,0,0,0,0,0,0,0,0
VPL-002,0,0,0,0,0,0,0,0
VPL-057,0,0,0,0,0,0,0,0
VPL-076,0,0,0,0,0,0,0,0
VPL-077,0,0,0,0,0,0,0,0
VPL-078,0,0,0,0,0,0,0,0
VPL-079,0,0,0,0,0,0,0,0
VPL-080,0,0,0,0,0,0,0,0
VPL-081,0,0,0,0,0,0,0,0
VPL-082,0,0,0,0,0,0,0,0
VPL-083,0,0,0,0,0,0,0,0
VPL-084,0,0,0,0,0,0,0,0
VPL-085,0,0,0,0,0,0,0,0
VPL-086,0,0,0,0,0,0,0,0
VPL-087,0,0,0,0,0,0,0,0
VPL-088,0,0,0,0,0,0,0,0
VPL-089,0,0,0,0,0,0,0,0
VPL-090,0,0,0,0,0,0,0,0
VPL-091,0,0,0,0,0,0,0,0
VPL-092,0,0,0,0,0,0,0,0
VPL-093,0,0,0,0,0,0,0,0
VPL-094,0,0,0,0,0,0,0,0
VPL-095,0,0,0,0,0,0,0,0
VPL-096,0,0,0,0,0,0,0,0
VPL-097,0,0,0,0,0,0,0,0
VPL-098,0,0,0,0,0,0,0,0
VPL-099,0,0,0,0,0,0,0,0
VPL-100,0,0,0,0,0,0,0,0
VPL-101,0,0,0,0,0,0,0,0
VPL-102,0,0,0,0,0,0,0,0
VPL-103,0,0,0,0,0,0,0,0
VPL-104,0,0,0,0,0,0,0,0
VPL-105,0,0,0,0,0,0,0,0
VPL-106,0,0,0,0,0,0,0,0
VPL-107,0,0,0,0,0,0,0,0
VPL-108,0,0,0,0,0,0,0,0
